cloth_type,size,color,fabric,brand,mrp,age_months,rental_price,rental_duration,availability,condition,location,occasion
1,1,1,1,1,1999,6,200,3,1,1,1,1
2,2,2,2,2,4999,12,600,5,1,2,2,2
3,3,3,3,3,9999,3,1500,7,1,1,3,3
4,4,4,4,4,7999,8,1200,4,0,3,4,1
5,1,5,5,5,2999,9,400,2,1,2,5,4
6,3,6,6,6,5999,5,800,3,1,1,6,2
1,4,7,7,7,1499,10,150,7,1,2,7,4
2,2,1,1,1,2999,11,500,5,1,2,8,2
3,3,2,2,4,12999,2,2000,7,0,1,9,1
4,4,8,4,3,15999,4,3000,4,1,3,10,1
5,1,3,5,2,3999,6,500,2,1,2,11,4
6,3,4,1,6,4999,7,700,3,1,1,12,2
1,4,9,8,7,1999,9,250,7,1,2,2,4
2,2,5,2,5,3999,5,800,4,1,1,1,2
3,3,6,3,4,7999,3,1200,5,1,2,5,1
4,4,10,4,3,16999,4,3500,4,1,3,6,1
5,1,1,5,2,2999,8,450,3,1,2,8,4
6,3,3,6,6,6999,6,900,7,1,1,4,2
1,4,4,1,1,1499,10,150,2,1,2,7,4
2,2,6,2,2,6999,11,1000,5,1,1,3,2
4,4,2,4,4,9999,7,1500,3,1,2,2,1
5,1,4,5,5,2499,6,350,2,1,1,5,4
6,3,5,1,6,3999,5,600,7,1,2,6,2
1,4,6,8,7,2499,12,300,3,1,1,4,4
2,2,1,2,3,8999,4,900,5,1,3,1,2
3,3,2,3,4,5999,6,1000,7,1,2,8,1
4,4,8,4,2,6999,3,1100,4,0,1,12,1
5,1,5,5,4,3999,9,550,2,1,2,7,4
6,3,3,6,1,4999,7,750,3,1,1,3,2
1,4,4,7,6,1999,8,200,7,1,2,2,4
2,2,3,1,5,1999,11,400,4,1,1,4,2
3,3,4,2,3,8999,4,1200,5,1,3,6,1
4,4,10,4,4,11999,6,1800,4,1,2,5,1
5,1,2,5,6,2999,5,400,3,1,1,7,4
6,3,1,1,7,4499,9,650,7,1,2,8,2
1,4,5,8,2,1499,10,150,2,1,1,3,4
2,2,6,2,4,8999,8,1000,5,1,3,10,2
3,3,1,3,3,15999,3,2500,7,1,1,9,1
4,4,2,4,4,9999,7,1500,3,1,2,2,1
5,1,4,5,5,2499,6,350,2,1,1,5,4
6,3,5,1,6,3999,5,600,7,1,2,6,2
2,2,5,2,4,7999,4,950,4,1,1,1,2
3,3,3,3,3,13999,3,2400,7,1,2,4,1
4,4,9,9,4,10999,5,1400,4,0,1,2,1
5,1,1,5,7,3499,8,500,2,1,2,5,4
6,3,3,6,1,4999,7,750,3,1,1,3,2
1,4,4,7,6,1999,8,200,7,1,2,2,4
2,2,3,1,5,1999,11,400,4,1,1,4,2
3,3,4,2,3,8999,4,1200,5,1,3,6,1
4,4,10,4,4,11999,6,1800,4,1,2,5,1
5,1,2,5,6,2999,5,400,3,1,1,7,4
6,3,1,1,7,4499,9,650,7,1,2,8,2
1,4,5,8,2,1499,10,150,2,1,1,3,4
2,2,6,2,4,8999,8,1000,5,1,3,10,2
3,3,1,3,3,15999,3,2500,7,1,1,9,1
4,4,2,4,4,9999,7,1500,3,1,2,2,1
5,1,4,5,5,2499,6,350,2,1,1,5,4
6,3,5,1,6,3999,5,600,7,1,2,6,2
1,4,6,8,7,2499,12,300,3,1,1,4,4
2,2,1,2,3,8999,4,900,5,1,3,1,2
3,3,2,3,4,5999,6,1000,7,1,2,8,1
4,4,8,4,2,6999,3,1100,4,0,1,12,1
7,4,4,8,4,3999,2,300,2,1,1,2,2
8,1,10,1,1,1499,6,200,7,1,2,6,4
2,2,2,2,6,10999,5,1500,4,1,1,7,2
3,3,5,3,3,19999,4,3000,7,1,1,4,1
4,4,4,9,4,12999,5,1600,4,0,1,2,1
5,1,7,5,7,2999,9,450,2,1,1,1,4
6,3,2,6,4,5999,8,850,3,1,2,8,2
1,4,1,1,2,1999,11,250,7,1,2,5,4
2,2,4,1,5,2999,8,500,4,1,1,6,2
3,3,6,2,3,10999,3,1800,5,1,3,2,1
4,4,11,4,4,10999,6,1700,4,1,2,4,1
5,1,3,5,6,3999,5,600,3,1,1,12,4
6,3,5,2,7,5499,9,750,7,1,2,8,2
1,4,2,7,4,2999,10,300,2,1,1,3,4
2,2,1,2,7,4999,7,800,5,1,3,5,2
3,3,3,3,4,7999,6,1300,7,1,2,2,1
4,4,10,9,3,13999,4,2000,4,1,1,7,1
5,1,1,5,4,3499,8,500,2,1,2,4,4
6,3,3,6,1,4999,7,750,3,1,1,3,2
1,4,4,7,6,1999,8,200,7,1,2,2,4
2,2,3,1,5,1999,11,400,4,1,1,4,2
9,3,4,10,8,2999,5,750,3,1,1,1,4
10,4,10,1,9,1299,6,250,2,1,1,2,4
11,1,1,1,10,1799,4,350,7,1,2,6,4
12,3,3,1,11,1999,8,300,7,1,1,4,4
13,4,12,11,12,2499,7,500,4,1,3,1,4
14,1,2,1,13,3499,3,700,2,0,1,2,4
15,3,10,12,14,7999,5,1200,7,1,2,7,4
