cloth_type,size,color,fabric,brand,mrp,age_months,rental_price,rental_duration,availability,condition,location,occasion
17,8,5,3,63,1999,6,200,3,1,3,10,7
24,5,13,17,17,4999,12,600,5,1,5,5,3
18,7,11,12,54,9999,3,1500,7,1,3,8,5
27,6,2,19,34,7999,8,1200,4,0,4,6,7
0,8,15,7,8,2999,9,400,2,1,5,4,0
23,7,12,1,51,5999,5,800,3,1,3,1,3
17,6,10,15,21,1499,10,150,7,1,5,11,0
24,5,5,3,63,2999,11,500,5,1,5,7,3
18,7,13,17,34,12999,2,2000,7,0,3,0,7
27,6,8,19,54,15999,4,3000,4,1,4,9,7
0,8,11,7,17,3999,6,500,2,1,5,2,0
23,7,2,3,51,4999,7,700,3,1,3,3,3
17,6,14,11,21,1999,9,250,7,1,5,5,0
24,5,15,17,8,3999,5,800,4,1,3,10,3
18,7,12,12,34,7999,3,1200,5,1,5,4,7
27,6,1,19,54,16999,4,3500,4,1,4,1,7
0,8,5,7,17,2999,8,450,3,1,5,7,0
23,7,11,1,51,6999,6,900,7,1,3,6,3
17,6,2,3,63,1499,10,150,2,1,5,11,0
24,5,12,17,17,6999,11,1000,5,1,3,8,3
18,7,5,12,54,12999,2,200,7,1,3,1,7
27,6,13,19,34,9999,7,1500,3,1,5,5,7
0,8,2,7,8,2499,6,350,2,1,3,4,0
23,7,15,3,51,3999,5,600,7,1,5,1,3
17,6,12,11,21,2499,12,300,3,1,3,6,0
24,5,5,17,54,8999,4,900,5,1,4,10,3
18,7,13,12,34,5999,6,1000,7,1,5,7,7
27,6,8,19,17,6999,3,1100,4,0,3,3,7
0,8,15,7,34,3999,9,550,2,1,5,11,0
23,7,11,1,63,4999,7,750,3,1,3,8,3
17,6,2,15,51,1999,8,200,7,1,5,5,0
24,5,11,3,8,1999,11,400,4,1,3,6,3
18,7,2,17,54,8999,4,1200,5,1,4,1,7
27,6,1,19,34,11999,6,1800,4,1,5,4,7
0,8,13,7,51,2999,5,400,3,1,3,11,0
23,7,5,3,21,4499,9,650,7,1,5,7,3
17,6,15,11,17,1499,10,150,2,1,3,8,0
24,5,12,17,34,8999,8,1000,5,1,4,9,3
18,7,5,12,54,15999,3,2500,7,1,3,0,7
27,6,13,19,34,9999,7,1500,3,1,5,5,7
0,8,2,7,8,2499,6,350,2,1,3,4,0
23,7,15,3,51,3999,5,600,7,1,5,1,3
24,5,15,17,34,7999,4,950,4,1,3,10,3
18,7,11,12,54,13999,3,2400,7,1,5,6,7
27,6,14,14,34,10999,5,1400,4,0,3,5,7
0,8,5,7,21,3499,8,500,2,1,5,4,0
23,7,11,1,63,4999,7,750,3,1,3,8,3
17,6,2,15,51,1999,8,200,7,1,5,5,0
24,5,11,3,8,1999,11,400,4,1,3,6,3
18,7,2,17,54,8999,4,1200,5,1,4,1,7
27,6,1,19,34,11999,6,1800,4,1,5,4,7
0,8,13,7,51,2999,5,400,3,1,3,11,0
23,7,5,3,21,4499,9,650,7,1,5,7,3
17,6,15,11,17,1499,10,150,2,1,3,8,0
24,5,12,17,34,8999,8,1000,5,1,4,9,3
18,7,5,12,54,15999,3,2500,7,1,3,0,7
27,6,13,19,34,9999,7,1500,3,1,5,5,7
0,8,2,7,8,2499,6,350,2,1,3,4,0
23,7,15,3,51,3999,5,600,7,1,5,1,3
17,6,12,11,21,2499,12,300,3,1,3,6,0
24,5,5,17,54,8999,4,900,5,1,4,10,3
18,7,13,12,34,5999,6,1000,7,1,5,7,7
27,6,8,19,17,6999,3,1100,4,0,3,3,7
15,6,2,11,34,3999,2,300,2,1,3,5,3
20,8,1,3,63,1499,6,200,7,1,5,1,0
24,5,13,17,51,10999,5,1500,4,1,3,11,3
18,7,15,12,54,19999,4,3000,7,1,3,6,7
27,6,2,14,34,12999,5,1600,4,0,3,5,7
0,8,10,7,21,2999,9,450,2,1,3,10,0
23,7,13,1,34,5999,8,850,3,1,5,7,3
17,6,5,3,17,1999,11,250,7,1,5,4,0
24,5,2,3,8,2999,8,500,4,1,3,1,3
18,7,12,17,54,10999,3,1800,5,1,4,5,7
27,6,3,19,34,10999,6,1700,4,1,5,6,7
0,8,11,7,51,3999,5,600,3,1,3,3,0
23,7,15,17,21,5499,9,750,7,1,5,7,3
17,6,13,15,34,2999,10,300,2,1,3,8,0
24,5,5,17,21,4999,7,800,5,1,4,4,3
18,7,11,12,34,7999,6,1300,7,1,5,5,7
27,6,1,14,54,13999,4,2000,4,1,3,11,7
0,8,5,7,34,3499,8,500,2,1,5,6,0
23,7,11,1,63,4999,7,750,3,1,3,8,3
17,6,2,15,51,1999,8,200,7,1,5,5,0
24,5,11,3,8,1999,11,400,4,1,3,6,3
12,7,2,5,28,2999,5,750,3,1,3,10,0
36,6,1,3,45,1299,6,250,2,1,3,5,0
29,8,5,3,1,1799,4,350,7,1,5,1,0
3,7,11,3,50,1999,8,300,7,1,3,6,0
40,6,6,13,38,2499,7,500,4,1,4,10,0
10,8,13,3,59,3499,3,700,2,0,3,5,0
11,7,1,10,66,7999,5,1200,7,1,5,11,0
36,6,14,3,58,1999,10,400,3,1,3,8,0
12,8,1,5,42,2499,6,600,7,1,3,4,0
29,7,2,3,20,1499,9,250,4,1,4,5,0
